,0,1,2,3,4,5,6,7,8,9
Adarb2,-0.0064268373,0.003652719,0.011276417,0.008796159,-0.0020345168,0.010519045,0.011851832,-0.024287896,0.004696882,0.02023815
Sst,0.003256804,0.010013182,0.011800981,0.02270426,-0.011400464,-0.004366806,0.009135865,-0.02272146,0.004323202,0.009220031
Vip,-0.010552842,0.0044897697,0.009969403,0.012552654,-0.0049735783,0.0070192222,0.0030809278,-0.026216697,0.0063356888,0.014433655
Npy,-0.0036120047,0.0058482755,-0.000513106,0.026710626,-0.0046715806,-0.0057644746,0.0044829,-0.021566348,0.004539375,0.0077509633
Synpr,0.004285066,0.026262432,0.01856799,0.029322067,-0.009615753,-0.021698212,0.002789295,-0.030245388,0.00083017506,-0.0022795408
Reln,-0.0010851094,0.009715172,0.0015525193,0.024555808,-0.0067887106,-0.0014468135,-0.0011908072,-0.018252054,0.005442794,0.010062099
Nxph1,-0.010396675,-0.010971479,0.0049968795,0.013987479,-0.009620126,-0.0057826927,-0.014968452,-0.023443965,0.005380761,0.019133024
Sorcs3,-0.02479122,-0.00515672,0.024000688,-0.0026501734,0.0088820625,0.022307228,0.02508058,-0.028246684,0.017800037,0.028573316
Kirrel3,-0.00033205457,0.0126597015,-0.0069993692,0.011583069,0.0005769475,-0.0029020885,-0.009637089,-0.03282005,0.010836958,0.009666434
Calb1,0.00060975476,0.013107303,0.010060116,0.018707411,-0.009052916,-0.009950161,2.18357e-05,-0.027039932,0.0006324327,0.011617056
Sox6,-0.004435148,0.004603791,0.0018111047,0.021990411,-0.0036772096,-0.0051148282,-0.0063597993,-0.024850521,0.0046183644,0.012091978
Pde1a,0.002598058,0.011261861,0.004272566,0.021467498,-0.00656684,-0.0029432725,-0.002088634,-0.01994518,0.0021895268,0.01134255
C1qb,-0.005268327,0.008014891,-9.721116e-05,0.0068815113,-0.011878177,-0.004742224,-0.0022569941,-0.01886725,-0.00073191203,0.029818203
Kit,-0.013912254,0.0020397578,0.01386136,0.0044462867,-0.0023220817,0.015968857,0.015228978,-0.022652153,0.006470344,0.024722435
Grin3a,0.0031973098,0.010821261,0.0049002715,0.021272292,-0.011683369,-0.003851606,-0.0018916945,-0.017715128,0.0066865524,0.0106515875
Shisa9,-0.0071904124,0.0016513873,0.003334986,0.012557179,0.0028415618,0.0080645755,-0.0011440389,-0.024309557,0.006032073,0.01749266
Egfem1,-0.002332999,-0.0008587836,0.0024912362,0.017721107,-0.00022121554,0.0052555776,0.0019166508,-0.020536862,0.009098065,0.014406182
Zmat4,-0.004026605,0.002481117,-0.000530234,0.015481516,0.0034488111,-0.0002830618,-0.005821162,-0.02198634,0.008080644,0.016983459
Fxyd6,-0.014524744,-0.0026562645,0.015887003,0.012539396,0.007166849,0.015774947,0.018763522,-0.031567287,0.012779464,0.012505929
Trhde,0.0023474942,0.017744206,0.0153748235,0.022818284,0.00018943624,-0.009509146,0.0005171413,-0.018810457,0.0057868604,0.012547396
Mobp,-4.1557458e-05,-0.010801175,-0.0042467606,0.019989016,-0.0066966405,-0.010184188,-0.0014350736,-0.022636186,-0.0033233964,0.019432971
Ptprt,-0.0073872427,-0.0029068196,-0.003966892,0.014917551,-0.0050122626,-0.0016015348,-0.0066367174,-0.025693255,0.010962288,0.013271893
Mgat4c,-0.0048976517,-0.006747563,-0.0013206854,0.012230903,-0.0056330427,-0.0028949883,-0.0059102606,-0.02138133,0.0058692982,0.02201723
Crhbp,0.0029651518,0.005312304,0.004515393,0.0190296,-0.012031757,-0.0030034655,0.0022118585,-0.024423504,0.0009946243,0.0109157
Hs6st3,-0.0010541353,0.0042402414,0.0009347916,0.018173158,-0.0009280983,0.0038649868,-0.006123271,-0.0196513,0.0050115385,0.014638999
Unc5d,-0.0071369554,0.0013300573,0.002615067,0.021371692,-0.0037842086,-0.0031041906,-0.0030325318,-0.015601098,-0.0032282055,0.019613814
Fam19a2,-0.01651758,0.00383774,-0.003644846,0.017236518,0.020637115,0.005844526,-0.018924842,-0.024017885,0.021344034,0.014624765
Ctss,-0.015802102,0.02309483,-0.0124058155,-0.019832809,-0.026952079,-0.010867649,-0.0056928205,-0.012425834,0.00097154913,0.055043146
Cdh9,-0.00659129,0.0183156,0.008234898,0.029895796,-0.01096577,-0.0016941004,-0.0026154711,-0.018692767,0.013472422,0.00072500657
Zfp804b,-0.0032812096,0.008345697,0.009945051,0.013032919,0.008640607,0.002139121,0.00719823,-0.021008281,0.01077446,0.022316879
Sparc,-0.009161492,0.012707089,-0.002240442,-0.0007101064,-0.020678632,-0.008753531,-0.0020108982,-0.016525412,-0.0029982345,0.03704064
Adcy2,0.0026491599,0.0066494793,0.001522957,0.016303085,-0.0037503217,-0.0021101302,-0.0011182424,-0.021071045,0.0016576609,0.016563866
Sgcz,-0.0021596607,0.0028312379,-0.0042827236,0.017048717,0.0046806308,0.0012049798,-0.0032751346,-0.02183211,0.0063921614,0.016646165
Cacna2d3,0.0022439458,0.008056316,0.005118158,0.017399972,-0.0054897508,-0.0013900195,-5.0298745e-06,-0.021231752,0.0045295455,0.013279783
Csf1r,-0.0024760233,0.012446561,-0.005893932,0.004759687,-0.0136975525,-0.0039740726,-0.0032267016,-0.018210057,0.006124346,0.028598854
C1qc,-0.02088389,0.015392596,0.0022572095,-0.019604366,-0.029575493,-0.0008591231,0.0065661557,-0.013224125,-0.0003078622,0.054397494
Kcnip4,-0.014438827,-0.012830318,0.0019378301,0.0128835505,0.010821982,0.004755599,-0.017499108,-0.028443402,0.019148115,0.013851061
Cdh12,-0.007125903,0.002259259,-0.00081870926,0.015529761,0.0095180115,0.0029133703,-0.013774789,-0.025705453,0.009991754,0.014997091
Sorcs1,-0.014139722,0.006115008,0.015961759,0.015394326,-0.003224409,0.015660977,0.013518114,-0.023427814,0.0032577284,0.013724306
Thsd7a,-0.003985255,0.006219411,-0.0040298295,0.01986739,-0.0051863156,-0.020321067,-0.012259464,-0.027345268,0.012155755,0.009668075
Grm1,0.006145767,0.013637966,0.015714454,0.021113604,-0.009437544,-0.009366108,0.0007083973,-0.025204025,-0.000301704,0.007896555
Sox5,-0.045936875,0.008248507,0.053053655,-0.029544473,0.0053503076,0.040870145,0.06524051,-0.022429528,0.02097786,0.062699676
Kctd8,0.0008193373,0.015263739,0.02351918,0.03673529,-0.036402777,-0.021321889,-0.0012588446,-0.014629407,0.038117718,-0.007907436
Brinp3,-0.014339723,2.298549e-05,0.02767957,0.0058870264,-0.003726478,0.024647286,0.020573258,-0.026901023,0.0073773046,0.019702619
Rbp4,0.018614266,0.0019516754,0.016756164,0.03220707,-0.026797842,-0.0108707,0.023298096,-0.019830933,0.045053855,-0.00632991
Ptprm,-0.0060446933,-0.0031333915,0.0021970377,0.009568202,-0.0070092212,-0.0126567,-0.009523905,-0.031021414,0.01441958,0.015926704
Cpne7,-0.013933952,0.008450979,0.045336727,0.016652752,-0.011707942,0.00813711,0.03963358,-0.029172385,0.022779291,0.007949081
Rgs6,-0.018847309,-0.043394983,0.033988487,-0.0062884577,-0.020412872,-0.013853506,-0.024471246,-0.04301823,0.0105709275,0.020468619
Col19a1,-0.029263468,-0.0038946676,0.028378632,-0.00400359,-0.0059074108,0.011781352,0.01569006,-0.025271526,0.021174341,0.03203013
Dscam,0.0045175655,0.03842284,0.01968918,0.009162281,-0.019316453,-0.045221496,-0.018243747,-0.047394194,0.012021335,-0.003447328
1700019L22Rik,0.017926956,0.061399344,0.03525661,0.032350596,-0.03501453,-0.060426492,-0.01158146,-0.030112607,-0.008577837,-0.009551701
Cntnap4,-0.037185468,0.009627899,0.014250866,0.036832895,-0.027937522,-0.03406472,-0.017909078,0.0009938702,0.022599071,0.013994792
Crh,0.0024545784,0.067543454,0.06414762,0.056858875,-0.037271574,-0.039549846,0.014543179,-0.028893007,-0.02419872,-0.02997219
Fam135b,-0.03208757,0.006760266,0.0037020203,-0.013613876,-0.035738245,-0.038619034,-0.022117445,-0.008898425,-0.001507824,0.057066873
Ncam2,-0.04770934,0.0020583468,0.06161242,-0.021547835,-0.016204845,0.041318215,0.06415226,-0.03325664,0.025563803,0.03739915
Nfib,-0.022473976,0.0017106994,0.068427406,-0.010824339,-0.015217833,0.024030536,0.06035057,-0.035637967,0.033769142,0.025643906
Lingo2,-0.028922897,0.012361662,0.008861577,0.015059178,0.012207643,-0.009699129,0.006499168,-0.01591748,0.03481353,0.02297743
