"","rheobase_sweep_num","thumbnail_sweep_num","vrest","ri","sag","tau","vm_for_sag","f_i_curve_slope","adaptation","latency","avg_isi","upstroke_downstroke_ratio_long_square","peak_v_long_square","peak_t_long_square","trough_v_long_square","trough_t_long_square","fast_trough_v_long_square","fast_trough_t_long_square","threshold_v_long_square","threshold_i_long_square","threshold_t_long_square","upstroke_downstroke_ratio_ramp","peak_v_ramp","peak_t_ramp","trough_v_ramp","trough_t_ramp","fast_trough_v_ramp","fast_trough_t_ramp","threshold_v_ramp","threshold_i_ramp","threshold_t_ramp","upstroke_downstroke_ratio_short_square","peak_v_short_square","peak_t_short_square","trough_v_short_square","trough_t_short_square","fast_trough_v_short_square","fast_trough_t_short_square","threshold_v_short_square","threshold_i_short_square","threshold_t_short_square"
"PS0817_E1-50_S19",35,37,-80.4909348487854,157.421812415123,0.0352023057639599,17.4862794779789,-98.5000076293945,0.392382897291916,0.209605337465993,0.02874,120.857142857143,2.10043620619184,6.78125,0.58244,-68.25,0.58388,-68.03125,0.58374,-54.0937538146973,110,0.58206,2.08521766132329,13.71875,5.38462,-66.8125,5.38602,-66.6875,5.3859,-52.15625,122.125007629395,5.38422,2.02024907014117,11.2291669845581,0.503333333333333,-81.0729141235352,1.06679333333333,-70.8437576293945,0.504573333333333,-54.6875,560,0.502986666666667
"PS0817_E1-50_S26",10,30,-67.4596677507673,212.369859218597,0.0862604901194572,16.6497201833155,-91.2812576293945,0.109654180000548,0.0341331146749117,0.0137,41.3313043478261,2.09279924645896,18.7187519073486,0.56604,-60.2500038146973,0.57808,-59.4687538146973,0.56704,-49.84375,40,0.56572,2.11335509273494,18.4375019073486,1.93458,-60.3437538146973,1.94908,-58.3437538146973,1.93562,-48.7500038146973,35.875,1.93428,2.08037579939789,20.4765625,0.50333,-68.125,0.725025,-60.8046913146973,0.50432,-50.78125,260,0.503035
"PS0817_E1-50_S27",10,44,-64.810244173617,176.171898841858,0.278224736452103,11.0444454192514,-86.3125,0.434453122617453,0.0233643937670293,0.0393399999999999,73.7723076923077,1.72911656345174,26.125,0.56652,-50.5937538146973,0.5674,-50.5312538146973,0.56732,-32.53125,80,0.56622,1.68749385336266,25.5937519073486,4.14108,-48.8125,4.14196,-48.71875,4.14186,-31.3750019073486,91.1249923706055,4.14078,1.75484425961885,27.2239589691162,0.503226666666667,-66.078125,0.805513333333333,-52.7864646911621,0.504063333333333,-34.7135429382324,540,0.50296
"PS0817_E1-50_S28",8,32,-67.6740858895438,407.942742109299,0.0204472970217466,37.9484936625247,-98.875,0.386583011583012,0.0113702463663316,0.03712,43.1927272727273,2.52886810033889,-3.75000023841858,0.6097,-50.4375038146973,0.61586,-49.0000038146973,0.61278,-33.1562538146973,50,0.60912,2.24008567721164,4.56250047683716,2.33502,-51.84375,2.34032,-50.9062538146973,2.33782,-32.4375038146973,45.8749961853027,2.33446,1.81995314375032,-6.91406285762787,0.50364,-68.8437519073486,0.97587,-56.40625,0.507455,-38.8046875,400,0.502585
"PS0817_E1-50_S46",13,34,-73.1440098203462,723.771214485168,0.155356258153915,35.4241373355578,-96.78125,0.0279871323898799,0.187865886109641,0.0136000000000001,18.79,2.18474844887193,25.8750019073486,0.54308,-61.6875038146973,0.54532,-61.4687538146973,0.54498,-50.0312538146973,29.9999980926514,0.54248,1.02009312495309,5.15625,5.14492,-52,5.147,-51.9375,5.14698,-36.5625038146973,116.125,5.14372,2.13795291886926,24.6145839691162,0.503246666666667,-73.8854192097982,1.24221,-62.9114646911621,0.505243333333333,-50.7708365122477,239.999984741211,0.502723333333333
"PS0817_E1-50_S52",9,46,-70.2850646972656,224.739581346512,0.203662991523743,19.439218495587,-96.3125076293945,0.350245111335412,0.0904005236379763,0.03816,51.815,1.93418271046598,18.0625,0.63464,-54.25,0.63604,-54.2187538146973,0.63602,-41.25,90,0.63422,1.78757937158811,16.1354179382324,5.16096,-52.2291679382324,5.16242,-52.1041704813639,5.16232666666667,-36.0625,116.583335876465,5.16051333333333,1.89885279703162,8.38839244842529,0.503517142857143,-70.9062576293945,1.02165142857143,-57.7633972167969,0.505251428571429,-40.3303587777274,620,0.50312
"PS0830_E1-50_S17",11,37,-65.3374919184932,313.41153383255,0.0510428734123707,14.0429105009451,-99.4375076293945,0.0923621534080142,0.102781562526983,0.0134799999999999,19.5133333333333,2.86371275193492,25.0312519073486,0.60242,-53.4687538146973,0.60992,-52.2812538146973,0.60444,-38.78125,20,0.60196,2.76995295122288,23.765625,1.37846,-53.578125,1.38901,-52.3125038146973,1.38049,-38,22,1.378,2.92292374072609,21.9318192221902,0.50356,-66.0710220336914,1.19964545454545,-54.7357940673828,0.505885454545455,-40.8579559326172,220,0.503149090909091
"PS0830_E1-50_S26",10,32,-65.9409006558932,409.114688634872,0.111324958503246,19.1526246844041,-99.0312576293945,0.263509313784949,0.0819724580001976,0.0198199999999999,56.915,3.08590469891957,18.4062519073486,0.62496,-46.25,0.62708,-46.09375,0.62688,-37.71875,29.9999980926514,0.62454,3.12387552387991,16.2500019073486,1.71006,-45,1.71216,-44.96875,1.71214,-37.2187538146973,30.6249980926514,1.70964,2.83388720863523,11.2083330154419,0.503486666666667,-65.6770858764648,1.33772,-47.6979179382324,0.505346666666667,-39.7708320617676,300,0.5031
"PS0830_E1-50_S70",16,20,-74.3100474430965,76.5625908970833,0.0395669974386692,6.06114413710088,-84.4375076293945,0.807142857142854,0.00492376546555579,0.0535399999999999,23.636,1.57761621329953,13.0937509536743,0.6027,-53.8125038146973,0.604,-53.7812538146973,0.60384,-33.34375,370,0.60236,1.64869159821855,9.734375,15.12504,-51.3906288146973,15.1265,-51.1562538146973,15.1263,-31.609375,365.6875,15.12468,1.6736645474098,5.0859376390775,0.50332,-74.40625,0.901693333333333,-62.0677070617676,0.50639,-41.8072942097982,850,0.502781666666667
"PS0830_E1-50_S83",50,42,-71.5711294638144,144.27076280117,0.00368298776447773,7.5404850702907,-87.84375,1.2273144443742,0.00214100270047726,0.00964000000000009,12.9621052631579,1.14885792359251,15.0000009536743,0.52068,-58.8125038146973,0.5216,-58.8125038146973,0.5216,-35.5,150,0.52024,1.02289902256793,7,7.23926,-51.7187538146973,7.24052,-51.53125,7.24034,-34.59375,168.5,7.23872,1.2808179371328,23.7968769073486,0.503455,-71.2812557220459,0.78564,-58.8593788146973,0.504245,-44.453125,400,0.503035
"PS0830_E1-50_S85",15,45,-72.8353983561198,122.395798563957,0.0558106489479542,8.62982460786972,-86.6562576293945,0.760299346238176,0.091789004504684,0.0143199999999999,20.08,1.55469416749977,22.1875019073486,0.53482,-51.6875,0.53584,-51.5000038146973,0.53568,-31.2812519073486,180,0.53454,1.39798437528154,11.6875,9.66112,-50.5937538146973,9.66386,-50.3750038146973,9.66252,-28.2187519073486,229.125,9.66076,1.59322421090553,26.4500007629395,0.503264,-73.1062469482422,1.031768,-54.2437515258789,0.504064,-42.5687484741211,560,0.502996
"PS0921_E1-50_S06",34,9,-61.9460551738739,288.151055574417,0.0584248676896095,13.6620164665956,-93.7500076293945,0.246793850849821,0.0940471949211548,0.02078,76.7381818181818,2.9578515864079,18.5312519073486,0.63764,-41.1250038146973,0.67328,-37.2812538146973,0.63978,-31.0937519073486,50,0.63716,2.92546670677001,21.4375,2.84931,-39.015625,2.88728,-37.2500038146973,2.85139,-31.359375,58.8125,2.84882,2.78137581738928,18.950893674578,0.503277142857143,-61.9241104125977,1.01954285714286,-48.8392868041992,0.506511428571429,-34.8526802062988,239.999984741211,0.502842857142857
"PS0921_E1-50_S12",11,12,-70.8519539606004,171.354100108147,0.0336604416370392,12.4749458056728,-89.7812576293945,0.0182741121269522,-0.0323394404182589,0.0234000000000001,177.968,2.88667734655993,32,0.94462,-42.03125,0.94648,-41.96875,0.94642,-28.4062519073486,170,0.94418,2.6860701435184,31.2031288146973,6.91226,-42.171875,6.91414,-42.0781288146973,6.91407,-30.8437519073486,160.3125,6.91176,3.42438273468333,37.5178587777274,0.503271428571429,-71.5267868041992,1.10566857142857,-55.6875027247838,0.506031428571429,-35.6830368041992,540,0.502942857142857
"SM-GE62S_S110_E1-50",12,41,-72.1050953220677,104.68752682209,0.0772746577858925,5.33182072667772,-86.71875,0.735816173988671,0.0114622860241177,0.04738,23.786,1.76450413171484,6.25,0.61958,-54.9687538146973,0.62238,-54.2187538146973,0.62134,-33.1875,150,0.6192,1.77163374777199,3.125,6.35342,-54.9062538146973,6.3567,-54.15625,6.35566,-32.6875,146.375,6.35304,1.87312155455938,0.210937529802322,0.503115,-72.203125,1.21551,-63.703125,0.50606,-39.0703163146973,469.999969482422,0.502765
