"cell","ttype","ttype_sub","layer"
"PS0817_E1-50_S19","Sst","Sst Tac2 Myh4","5"
"PS0817_E1-50_S26","Sst","Sst Hpse Cbln4","5"
"PS0817_E1-50_S27","Sst","Sst Calb2 Necab1","2/3"
"PS0817_E1-50_S28","Sst","Sst Esm1","6"
"PS0817_E1-50_S46","Sst","Sst Calb2 Pdlim5","5"
"PS0817_E1-50_S52","Sst","Sst Calb2 Pdlim5","2/3"
"PS0830_E1-50_S17","Vip","Vip Gpc3 Slc18a3","4"
"PS0830_E1-50_S26","Vip","Vip Crispld2 Kcne4","2/3"
"PS0830_E1-50_S70","Pvalb","Pvalb Tpbg","2/3"
"PS0830_E1-50_S83","Pvalb","Pvalb Vipr2","2/3"
"PS0830_E1-50_S85","Pvalb","Pvalb Vipr2","2/3"
"PS0921_E1-50_S06","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"PS0921_E1-50_S12","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"SM-GE62S_S110_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE62S_S111_E1-50","Sst","Sst Tac1 Htr1d","2/3"
"SM-GE62S_S113_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE62S_S116_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE62S_S118_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE62S_S119_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE62S_S123_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE62S_S125_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE63V_S097_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE63V_S098_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE63V_S161_E1-50","Vip","Vip Lmo1 Myl1","2/3"
"SM-GE63V_S153_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE63V_S162_E1-50","Vip","Vip Col15a1 Pde1a","2/3"
"SM-GE63V_S163_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE63V_S155_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE63V_S181_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE63V_S182_E1-50","Lamp5","Lamp5 Lsp1","2/3"
